what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767500343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767532656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767535359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767535359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767535421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767564062
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.SourceView,1239767569421
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.SourceView,1239767569453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239767571578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772317984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772319125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772320234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772857515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772858875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772858890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239772859015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239774938671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239774948312
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.4.v20081027-2115,org.eclipse.equinox.p2.extensionlocation,1239775040015
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1239775040046
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1239775040203
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1239775040265
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1239775040265
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1239775040343
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1239775136140
